Hotel Royal Fromentin	3 etoiles. Review : 7.7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-royal-fromentin/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	11 &#44  rue Fromentin 75009 Paris France	48.88280	2.33470	hotels
Hotel Taylor	3 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/hotel-taylor/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	6 &#44  rue Taylor 75010 Paris France	48.86970	2.35920	hotels
Hotel Lyon Bastille	3 etoiles. Review : 7.4. URL : http://www.easytobook.com/en/france/paris/paris/hotel-lyon-bastille/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	3 rue Parrot 75012 Paris France	48.84670	2.37230	hotels
Paris Eiffel Cambronne	3 etoiles. Review : 7.8. URL : http://www.easytobook.com/en/france/paris/paris/relais-de-eiffel-cambronne/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	166 Boulevard De Grenelle 75015 Paris France	48.84810	2.30080	hotels
Grenelle Paris Tour Eiffel	3 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/grenelle-tour-eiffel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	140 &#44  boulevard de Grenelle 75015 Paris France	48.84860	2.29870	hotels
Hotel Aberotel Montparnasse	3 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/hotel-aberotel-montparnasse/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	24 &#44  rue Blomet 75015 Paris France	48.84320	2.30710	hotels
Hotel Beauchamps	4 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/hotel-beauchamps/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	24 rue de Ponthieu 75008 Paris France	48.87080	2.30930	hotels
Hotel Annexe	2 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/annexe/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	4 Rue Taylor 75010 Paris France	48.86970	2.35920	hotels
Hotel De Geneve	3 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-minotel-de-geneve/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	36 Rue De Londres 75009 Paris France	48.87780	2.32730	hotels
Hotel Jules	4 etoiles. Review : 8.7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-jules/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	49-51 rue La Fayette 75009 Paris France	48.87550	2.34250	hotels
